Turnaround ID,AL,A/C Type,Stand,weekday,daytime,Performance
253,AL0,T0,B,Thursday,morning,H
254,AL0,T0,B,Thursday,morning,H
210,AL0,T0,B,Friday,morning,H
15,AL1,T1,A,Friday,morning,L
218,AL0,T0,B,Friday,morning,L
302,AL2,T2,C,Friday,morning,H
1,AL1,T1,A,Friday,afternoon,H
296,AL2,T2,C,Friday,afternoon,H
2,AL1,T1,A,Friday,afternoon,H
205,AL0,T0,B,Friday,evening,H
301,AL2,T2,C,Friday,evening,L
287,AL2,T3,C,Saturday,morning,H
38,AL1,T1,A,Saturday,afternoon,H
157,AL0,T4,B,Saturday,evening,H
46,AL1,T1,A,Saturday,evening,H
345,AL2,T2,C,Sunday,night,H
74,AL1,T1,A,Sunday,night,H
229,AL0,T0,B,Monday,night,L
224,AL0,T0,B,Monday,morning,H
277,AL3,T5,C,Monday,morning,H
194,AL0,T6,B,Monday,morning,L
25,AL1,T1,A,Monday,evening,H
262,AL0,T0,B,Tuesday,morning,L
368,AL2,T2,C,Tuesday,morning,H
109,AL1,T1,A,Tuesday,morning,H
201,AL0,T6,B,Tuesday,morning,H
367,AL2,T2,C,Tuesday,afternoon,L
94,AL1,T1,A,Tuesday,afternoon,H
103,AL1,T1,A,Tuesday,evening,H
200,AL0,T6,B,Tuesday,evening,H
104,AL1,T1,A,Tuesday,evening,H
372,AL2,T2,C,Tuesday,night,L
116,AL1,T1,A,Tuesday,night,H
378,AL2,T2,C,Wednesday,morning,H
129,AL1,T1,A,Wednesday,morning,H
190,AL0,T4,B,Wednesday,morning,L
379,AL2,T2,C,Wednesday,morning,H
373,AL2,T2,C,Wednesday,afternoon,H
185,AL0,T4,B,Wednesday,evening,H
125,AL1,T1,A,Wednesday,evening,H
384,AL2,T2,C,Wednesday,night,H
137,AL1,T1,A,Wednesday,night,H
354,AL2,T2,C,Thursday,morning,H
355,AL2,T2,C,Thursday,morning,H
172,AL0,T4,B,Thursday,morning,L
88,AL1,T1,A,Thursday,morning,H
348,AL2,T2,C,Thursday,afternoon,H
165,AL0,T4,B,Thursday,afternoon,H
77,AL1,T1,A,Thursday,afternoon,H
84,AL1,T1,A,Thursday,evening,H
351,AL2,T2,C,Thursday,evening,H
170,AL0,T4,B,Thursday,evening,H
85,AL1,T1,A,Thursday,evening,H
352,AL2,T2,C,Thursday,evening,H
303,AL2,T2,C,Friday,morning,H
211,AL0,T0,B,Friday,morning,H
212,AL0,T0,B,Friday,morning,H
308,AL2,T2,C,Friday,morning,L
3,AL1,T1,A,Friday,afternoon,H
297,AL2,T2,C,Friday,afternoon,H
4,AL1,T1,A,Friday,afternoon,H
300,AL2,T2,C,Friday,evening,H
148,AL0,T4,B,Friday,evening,H
12,AL1,T1,A,Friday,evening,L
311,AL2,T2,C,Friday,night,H
332,AL2,T2,C,Saturday,morning,L
48,AL1,T1,A,Saturday,morning,L
325,AL2,T2,C,Saturday,afternoon,L
39,AL1,T1,A,Saturday,afternoon,H
43,AL1,T1,A,Saturday,afternoon,L
158,AL0,T4,B,Saturday,evening,H
50,AL1,T1,A,Saturday,night,H
70,AL1,T1,A,Sunday,morning,L
198,AL0,T6,B,Sunday,morning,H
71,AL1,T1,A,Sunday,morning,L
51,AL1,T1,A,Sunday,afternoon,H
235,AL0,T0,B,Sunday,evening,H
228,AL0,T0,B,Monday,morning,L
318,AL2,T2,C,Monday,morning,H
278,AL3,T5,C,Monday,morning,H
16,AL1,T1,A,Monday,afternoon,H
17,AL1,T1,A,Monday,afternoon,H
282,AL3,T5,C,Tuesday,morning,H
180,AL0,T4,B,Tuesday,morning,L
110,AL1,T1,A,Tuesday,morning,H
175,AL0,T4,B,Tuesday,afternoon,L
